Area,ConvexArea,Perimeter,ConvexPerimeter,EquivDiameter,MajorAxisLength,MinorAxisLength,SuperscribedDiameter,Elongation,Compactness,Eccentricity,Solidity,Extent,Circularity,RadialDistanceSD,SecondMoment,Roughness,MinIntensity,MaxIntensity,MeanIntensity,SDIntensity,MinIntensityBG,MaxIntensityBG,MeanIntensityBG,SDIntensityBG,IntensityDifference,markov1,markov2,markov3,markov4,markov5,gabormean_0_0,gaborSD_0_0,gabormean_0_1,gaborSD_0_1,gabormean_0_2,gaborSD_0_2,gabormean_1_0,gaborSD_1_0,gabormean_1_1,gaborSD_1_1,gabormean_1_2,gaborSD_1_2,gabormean_2_0,gaborSD_2_0,gabormean_2_1,gaborSD_2_1,gabormean_2_2,gaborSD_2_2,gabormean_3_0,gaborSD_3_0,gabormean_3_1,gaborSD_3_1,gabormean_3_2,gaborSD_3_2,Contrast,Correlation,Energy,Homogeneity,Entropy,x_3rdordermoment,Inversevariance,Sumaverage,Variance,Clustertendency,MaxProbability,Malignancy_1,Malignancy_2,Malignancy_3,Malignancy_4
517,572,102.4680374,92.58229091,25.65667252,33.63138114,20.81301613,36.68787266,1.615882144,1.616130511,0.785503657,0.903846154,0.61547619,0.757956988,6.459747881,0.18877959,0.096476392,223,1201,862.6925,272.8919,190,724,309.0155,96.7489,553.677,9486.09,4526.72,805305.25,764280.5,109.1981,50.8048,39.809,48.006,48.2488,121.0262,92.6697,28.919,38.0627,32.2345,37.2902,35.1893,38.7415,48.6595,44.5493,48.456,51.4938,122.419,94.3102,51.0655,52.4312,70.4393,49.52,50.65,53.6664,41100,0.832,0.0007,0.0591,7.39,1760000,0.0255,488,122000,446000,0.0021,5,5,0,2
116,121,41.21320344,40.36891968,12.15301556,14.01284144,10.78793188,14.76482306,1.298936775,1.165211849,0.638212305,0.958677686,0.743589744,0.894486105,0.789735172,0.167064942,0.020485759,163,1360,531.2069,343.5774,139,1233,653.925,465.9048,122.7181,4426.93,4427.75,2375.72,4026.62,1636.03,57.8141,60.0784,64.1923,70.4095,111.3205,68.3679,50.109,64.8615,46.3526,63.7722,50.3718,65.9111,31.0705,47.4782,30.6667,50.6035,102.1474,64.0816,69.6795,61.6382,42.109,54.3205,96.9295,73.0906,43300,0.909,0.0041,0.0472,5.6,-3750000,0.0173,412,126000,482000,0.0069,2,3,3,0
500,545,94.91168825,89.71177807,25.23132522,30.60241275,22.29918655,33.24154028,1.372355565,1.433704105,0.684860577,0.917431193,0.625,0.780694176,2.65933948,0.17888684,0.054786826,140,1334,951.974,228.5456,8,1400,478.2733,383.621,473.7007,5602.83,1941.25,5596.43,5594.52,1939.57,54.9075,57.4406,33.3325,43.9359,133.87,93.105,62.4225,53.1457,47.9738,43.9637,47.4125,45.1473,53.8563,43.681,59.4775,53.2824,133.4338,91.4088,72.9762,56.2922,50.3475,46.0514,64.3787,54.2265,53600,0.802,0.0007,0.0281,7.37,-4970000,0.01,790,134000,481000,0.0014,4,5,0,5
110,121,42.97056275,40.60271355,11.83454055,14.8991561,9.895628679,15,1.50563007,1.335794138,0.747578226,0.909090909,0.705128205,0.838479465,1.096948168,0.180250939,0.055103984,22,1226,740.0727,315.095,89,963,412,268.2384,328.0727,5618.6,5620.22,3376.62,3258.47,2076.14,68.5769,43.6678,52.6795,46.7705,131.5,69.5339,108.4167,60.833,114.9295,57.0485,100.1538,60.3612,94.2372,60.2797,70.8782,62.9172,124.3077,70.6797,116.0192,54.8863,99.6923,55.9826,104.2436,55.9289,103000,0.549,0.004,0.019,5.62,1160000,0.0072,645,113000,348000,0.004,1,3,0,3
83,90,36.14213562,35.09066623,10.28002345,12.32698717,8.974758069,12.20655562,1.37351749,1.252390216,0.685515841,0.922222222,0.754545455,0.847041578,0.982192571,0.173067943,0.029092619,143,1078,510.6145,321.6977,142,691,339.1481,184.9525,171.4663,2737.5,2825.51,365646.18,361569.02,103.8222,66.7364,66.9539,55.2545,68.0826,98.9273,65.4176,69.9455,51.3321,86.3364,64.2088,78.1091,57.802,72.7,51.7842,59.2364,58.767,109.5,65.6019,94.3364,63.7508,121.4364,50.0362,78.6182,59.6814,75200,0.63,0.0061,0.0369,5.2,9000000,0.0118,371,94200,307000,0.0102,2,3,3,0
63,66,30.97056275,30.25866854,8.956231982,10.62981692,7.876643304,11.18033989,1.349536409,1.21156796,0.671510324,0.954545455,0.715909091,0.864670785,1.858258514,0.170999852,0.022986157,137,1146,460.4603,283.3723,113,553,219.96,133.2277,240.5003,4861.04,4861.21,2281.3,2712.08,1427.63,90.3409,63.6148,57.6591,58.7803,100.375,66.3849,53.8182,66.6384,66.6932,69.4387,52.0682,64.5897,93.2727,62.502,119.0114,62.2746,107.4091,67.3035,108.5227,57.1252,102.5909,74.2603,88.0455,63.1608,69800,0.584,0.0078,0.0286,4.95,11200000,0.006,311,76700,243000,0.0109,2,1,2,0
119,123,41.79898987,40.59841495,12.30916349,13.05804707,11.87158484,13.92838828,1.099941351,1.168354802,0.416491999,0.967479675,0.762820513,0.907274426,1.572151225,0.162174608,0.028722582,27,521,245.9916,117.9028,12,623,142.9189,110.3274,103.0727,3984.35,3984.4,2583.12,1717.83,1185.48,93.9295,57.6117,79.8782,61.4087,114.4615,67.9238,110.9872,54.496,118.8077,54.2193,91.0897,53.2132,77.2756,57.9962,70.0897,71.1329,114.5449,69.1895,109.9038,63.5296,81.5513,59.9566,82.0256,61.2986,16100,0.478,0.0041,0.037,5.61,-516000,0.0103,224,15100,44600,0.0063,0,3,4,3
227,236,59.35533906,57.09335542,17.00074636,20.71172306,14.15900257,21.02379604,1.462795346,1.235048064,0.729835667,0.961864407,0.667647059,0.875113908,2.096728256,0.172573282,0.038109186,146,1035,728.9956,267.7089,137,630,262.5133,87.0985,466.4823,4546.52,9893.06,587705.06,537854.12,169.9356,45.8559,38.5226,31.0794,36.4921,118.9676,79.7056,42.0324,44.6244,41.1382,44.7472,41.4265,42.9248,71.6382,48.9545,58.2676,50.8941,118.1471,79.8799,67.0324,56.2439,80.1529,57.0219,66.9559,62.6465,49500,0.746,0.0018,0.0438,6.45,772000,0.0176,477,97500,341000,0.0039,0,3,1,2
108,108,38.627417,38.627417,11.72646029,13.35824142,10.51997476,13.41640786,1.269797858,1.099405022,0.616280249,1,0.75,0.909582893,0.665929508,0.165767255,7.77E-16,73,1037,521.4907,302.9343,65,337,150,84.4715,371.4907,1364.88,2723.25,332988.5,316002.56,241.5459,84.2222,53.9276,57.7986,59.4472,106.6528,70.4068,57.2153,54.9549,80.6458,51.6345,68.0347,52.3388,72.125,53.9944,52.2153,54.4281,107.8125,70.95,63.0278,58.5365,79.6042,49.0781,75.7708,62.3906,70000,0.674,0.0045,0.0439,5.51,9030000,0.0171,404,102000,340000,0.0072,4,3,0,2
136,140,44.04163056,43.07711232,13.15904928,14.54641364,12.08355447,15.13274595,1.203819098,1.134953339,0.55673584,0.971428571,0.755555556,0.920991469,1.39054557,0.163117542,0.021900148,479,1050,820.3971,140.8397,246,939,534.9091,217.2256,285.488,8814.24,10587.27,674733.86,639517.33,362.7984,52.5222,50.2919,66.2111,62.1295,137.6389,67.7968,69.6611,62.2152,71.0167,63.8032,71.6722,58.0892,40.3056,41.7483,41.4333,47.8631,140.2111,68.1583,93.4278,54.1145,76.3111,61.1501,106.3056,61.8213,23300,0.705,0.0035,0.0372,5.77,-4130000,0.0105,533,36000,122000,0.0051,0,3,3,3
