Area,ConvexArea,Perimeter,ConvexPerimeter,EquivDiameter,MajorAxisLength,MinorAxisLength,SuperscribedDiameter,Elongation,Compactness,Eccentricity,Solidity,Extent,Circularity,RadialDistanceSD,SecondMoment,Roughness,MinIntensity,MaxIntensity,MeanIntensity,SDIntensity,MinIntensityBG,MaxIntensityBG,MeanIntensityBG,SDIntensityBG,IntensityDifference,markov1,markov2,markov3,markov4,markov5,gabormean_0_0,gaborSD_0_0,gabormean_0_1,gaborSD_0_1,gabormean_0_2,gaborSD_0_2,gabormean_1_0,gaborSD_1_0,gabormean_1_1,gaborSD_1_1,gabormean_1_2,gaborSD_1_2,gabormean_2_0,gaborSD_2_0,gabormean_2_1,gaborSD_2_1,gabormean_2_2,gaborSD_2_2,gabormean_3_0,gaborSD_3_0,gabormean_3_1,gaborSD_3_1,gabormean_3_2,gaborSD_3_2,Contrast,Correlation,Energy,Homogeneity,Entropy,x_3rdordermoment,Inversevariance,Sumaverage,Variance,Clustertendency,MaxProbability,Malignancy_1,Malignancy_2,Malignancy_3,Malignancy_4
1094,1286,168.8528137,135.3729182,37.32189789,42.80368683,35.83490024,46.61544808,1.194469262,2.073907672,0.546909233,0.850699844,0.625858124,0.750176757,8.399399399,0.177880999,0.198278577,174,1245,950.585,258.1061,82,1134,335.4908,198.5287,615.0942,9586.22,65166.59,791635.88,674028.11,161.4294,29.9462,36.8423,27.1047,40.1055,128.6974,97.6421,30.9588,38.7879,33.3741,30.2777,31.0286,38.2095,31.4777,32.4242,25.7592,34.3867,128.5395,96.7572,52.2122,49.4067,56.1276,42.3147,43.036,45.5609,30300,0.894,0.0003,0.0532,8.15,1290000,0.0223,661,143000,541000,0.0009,5,5,5,4
918,951,121.8406204,116.9236825,34.18821291,42.01564661,28.63195674,41.77319715,1.467438883,1.286861057,0.731855932,0.965299685,0.772077376,0.843815649,4.758836555,0.175819502,0.04035549,78,1322,340.8094,119.4069,59,2211,258.0406,369.596,82.7688,2404.65,6710.88,162392.58,169536.66,185.2289,31.2464,40.4733,19.122,36.8721,139.1421,78.2645,24.7048,30.7529,37.804,32.0075,28.8099,39.4379,32.0555,36.6631,19.8385,33.7373,138.0471,76.7814,29.0219,31.9216,33.6678,29.1068,26.3389,33.3563,16300,0.781,0.0005,0.0567,7.76,11100000,0.0221,260,32700,115000,0.0012,0,0,5,4
931,1062,148.2670273,119.7992897,34.42943532,39.63581858,30.84461784,44.27188724,1.285015713,1.879012267,0.628015784,0.876647834,0.599099099,0.815175388,5.456976945,0.169154263,0.192003159,129,1102,674.5768,316.7174,105,730,242.0546,103.6293,432.5222,3688.85,12923.39,499085.05,500679.69,70.6068,53.1963,46.8965,37.7124,44.5034,96.861,91.3143,34.0914,34.4942,69.435,52.9968,34.6467,36.8705,58.5907,46.4982,28.6654,32.243,96.9369,91.2235,49.0322,44.7131,64.3771,48.9558,49.9543,47.0332,22400,0.899,0.0004,0.0572,8.03,735000,0.0247,416,111000,420000,0.001,5,5,3,4
161,167,51.45584412,49.20108142,14.31752656,18.12506795,11.57466258,19.02629759,1.565926248,1.308680629,0.769539115,0.964071856,0.706140351,0.835769355,3.372750613,0.178503197,0.043819371,127,1039,605.9193,296.5192,115,387,206.2687,69.9622,399.6506,1604.65,3366.75,429007.24,460743.67,144.5988,87.0526,57.9728,38.5307,44.359,106.557,72.7484,68.1491,47.5899,88.9956,52.7838,52.0088,47.653,76.8684,51.694,78.193,61.7426,106.7149,71.5855,81.9123,57.005,117.2149,55.2944,79.8596,53.2758,61400,0.692,0.0027,0.0312,6.03,-469000,0.0107,420,98700,333000,0.0043,4,4,3,2
246,251,58.76955262,57.72113208,17.6979357,18.32499121,17.32131246,19.6468827,1.057944728,1.117274272,0.326408034,0.980079681,0.719298246,0.927844698,0.918958742,0.160865473,0.017839519,70,1045,716.8821,345.1841,90,933,282.7188,246.0274,434.1634,25752.83,15205.08,599663.7,562979.42,301.5248,52.4649,49.6952,33.8743,46.7841,122.0117,84.9098,38.5497,50.5886,49.4766,48.5758,46.3655,48.2831,38.9298,39.7515,41.7982,54.4686,122.4415,83.886,66.9591,59.9375,78.4883,49.1378,56.0731,51.6399,58900,0.793,0.0018,0.0764,6.43,8600000,0.0392,565,137000,492000,0.0052,4,5,3,2
71,73,32.14213562,31.49473652,9.507891863,10.52835183,8.908659591,10.77032961,1.181810992,1.157927173,0.532930537,0.97260274,0.788888889,0.899481538,0.988913754,0.165091322,0.020141758,182,1942,635.3521,477.3864,201,700,292.3158,109.1131,343.0363,13289.66,5844.99,501398.45,459387.19,446.4827,99.8222,66.1494,84.4111,71.6271,104.3444,70.262,71.0556,43.1755,73.4333,51.3516,68.9,45.9587,59.4222,63.2463,51.2222,57.8339,98.7444,66.9247,76.7111,54.7189,96.7,70.8573,68.4889,51.1403,172000,0.634,0.0076,0.0296,4.98,15500000,0.0097,403,200000,650000,0.0105,2,1,1,1
67,67,30.14213562,29.96399004,9.236181543,10.02592776,8.619837223,10.29563014,1.163122633,1.079104174,0.510707429,1,0.827160494,0.937746342,0.485887152,0.160591562,0.005910185,150,602,367.7313,131.2263,157,314,237.8571,47.4177,129.8742,1677.85,1377.72,140828.55,133879.15,107.0503,86.4198,58.3481,66.679,56.4442,104.2099,59.2595,81.6543,57.3596,65.358,58.7278,105.0123,61.8529,64.4938,58.3524,94.8272,62.1053,108.2222,57.7512,96.6296,59.0539,77.7778,61.6226,117.1358,61.8364,18500,0.489,0.0085,0.0315,4.86,1160000,0.0105,221,17300,51300,0.0095,3,3,3,2
120,127,42.627417,41.0639669,12.36077446,13.94604858,11.23066022,14.56021978,1.241783503,1.204999661,0.592876561,0.94488189,0.714285714,0.89427133,1.441467668,0.165600694,0.036677101,133,941,490.325,236.4088,130,351,209.3958,54.7554,280.9292,1792.84,3169.6,279381.89,244933.26,101.565,105.9345,58.2576,77.0595,66.7454,105.6369,69.072,55.1429,51.2219,71.7798,46.6445,63.119,55.7929,93.3571,54.3516,60.3214,50.9893,106.244,68.6973,67.3036,54.3576,87.0833,50.158,68.6964,57.7926,43300,0.641,0.0038,0.0358,5.69,2830000,0.0143,320,59200,194000,0.0053,3,3,3,2
55,58,28.97056275,28.18419009,8.368283872,10.41308152,6.965773701,10.29563014,1.494892307,1.21434282,0.743312346,0.948275862,0.679012346,0.870084506,0.716834922,0.175326822,0.027143852,164,883,390.9636,220.5325,161,1078,557.7308,372.3857,166.7671,9593.34,7404.76,220418.8,230167.76,649.3866,89.1852,51.8317,101.2099,74.3057,116.8642,62.6699,58.1358,67.0798,75.6667,71.0299,56.2346,64.1224,106.0988,72.3969,104.716,76.7254,111.0494,64.6365,90.679,67.974,95.9506,57.1708,98.2469,66.6803,37900,0.87,0.0086,0.0423,4.86,10400000,0.0205,286,69700,260000,0.011,2,0,0,0
82,88,36.97056275,34.93703279,10.21790794,11.6386912,9.714786451,12.08304597,1.19803881,1.326442432,0.55070871,0.931818182,0.67768595,0.844212312,0.867755011,0.173147517,0.05500403,145,761,455.2561,185.8054,152,583,304.9744,112.7885,150.2817,2470.46,2292.67,226144.9,214343.98,101.597,86.5537,61.6562,84.8843,67.0167,118.281,62.5692,77.4959,52.8988,98.2314,59.8804,59.8843,50.6908,85.8099,75.6024,75.7851,79.2288,123.4711,67.8664,75.5207,48.3308,97.6033,54.2295,70.2397,51.5294,28300,0.582,0.0054,0.0291,5.33,-698000,0.0119,288,32100,102000,0.0062,2,0,0,0
