Area,ConvexArea,Perimeter,ConvexPerimeter,EquivDiameter,MajorAxisLength,MinorAxisLength,Elongation,Compactness,Eccentricity,Solidity,Extent,Circularity,RadialDistanceSD,SecondMoment,Roughness,MinIntensity,MaxIntensity,MeanIntensity,SDIntensity,MinIntensityBG,MaxIntensityBG,MeanIntensityBG,SDIntensityBG,IntensityDifference,markov1,markov2,markov3,markov4,markov5,gabormean_0_0,gaborSD_0_0,gabormean_0_1,gaborSD_0_1,gabormean_0_2,gaborSD_0_2,gabormean_1_0,gaborSD_1_0,gabormean_1_1,gaborSD_1_1,gabormean_1_2,gaborSD_1_2,gabormean_2_0,gaborSD_2_0,gabormean_2_1,gaborSD_2_1,gabormean_2_2,gaborSD_2_2,gabormean_3_0,gaborSD_3_0,gabormean_3_1,gaborSD_3_1,gabormean_3_2,gaborSD_3_2,Contrast,Correlation,Energy,Homogeneity,Entropy,x_3rdordermoment,Inversevariance,Sumaverage,Variance,Clustertendency,MaxProbability,Malignancy_1,Malignancy_2,Malignancy_3,Malignancy_4
1132,1168,128.8111832,123.5857478,37.96455142,41.81561768,34.83632207,1.200345364,1.166408962,0.55313209,0.969178082,0.766937669,0.931364138,3.03305792,0.163397115,0.040566629,1,1151,817.0929,367.9099,1,1043,189.8717,222.6031,627.2212,4698.07,34492.61,897709.48,696074.36,193.9232,50.4058,46.0356,33.0589,37.6907,148.0576,99.4598,21.8103,32.818,30.5515,32.3092,22.6443,33.3885,50.5657,46.9091,24.7514,35.951,147.6213,100.2883,35.8889,41.4087,51.8469,35.356,32.7073,42.8854,53600,0.852,0.0005,0.063,7.91,1240000,0.0221,696,183000,680000,0.0107,4,5,5,2
112,115,41.3137085,40.46942475,11.94164264,13.5109924,10.86441748,1.24360026,1.212719819,0.594471187,0.973913043,0.861538462,0.859357407,1.079679619,0.166247665,0.020435923,92,1168,771.8304,335.8518,190,1324,627.9444,412.5946,143.8859,4886.08,1674.68,4877.97,4878.57,1673.93,111.2308,68.7323,57.3769,48.6468,122.1769,64.6529,53.2923,66.5186,60.7846,57.0354,51.1692,61.2165,43.7231,48.55,40.8231,54.9951,113.6154,62.9803,72.1,69.7627,98.2769,56.3786,60.1538,66.6475,89300,0.636,0.005,0.0264,5.41,10200000,0.01,708,103000,338000,0.0059,2,3,3,2
148,157,47.79898987,46.11631565,13.72732504,15.56581298,12.47210034,1.248050653,1.228473686,0.598330335,0.942675159,0.758974359,0.874505154,1.955144736,0.166883933,0.035203134,213,1101,791.8986,306.1639,189,1057,475.7234,289.4011,316.1752,4824.61,4820.68,2954.22,4283.13,2725.87,59.4103,53.5002,74.7846,71.5171,125.559,73.3558,52.7897,50.3163,58.1231,48.7176,66.4256,56.4885,39.2256,48.5592,39.6154,48.0559,125.4205,71.8043,73.3385,58.1542,81.3795,58.918,70.3846,51.739,55600,0.778,0.0032,0.0468,5.85,11700000,0.0189,558,102000,364000,0.0046,2,4,5,3
84,86,36.28427125,35.20390822,10.34176589,11.87611127,9.27037434,1.28108217,1.247233191,0.625043333,0.976744186,0.646153846,0.85174068,0.845684378,0.166901185,0.029774968,26,1177,467.494,327.2124,15,484,196.75,113.4708,270.744,3362.21,3362.03,2875.88,1943.83,1709.74,80.8769,56.4455,68.3,68.207,94.1385,69.8242,73.3231,60.2974,88.0846,58.6805,71.9769,58.9174,90.8923,54.9956,85.8385,66.0279,100.7231,72.3008,96.1,54.4759,115.4,58.3633,106.5923,59.2756,105000,0.505,0.005,0.0206,5.4,10300000,0.0055,397,103000,309000,0.007,3,3,3,3
94,94,35.79898987,35.4426987,10.94004192,11.25210776,10.76590138,1.045161697,1.084935269,0.290780626,1,0.776859504,0.940338358,0.431258574,0.159473334,0.009952548,80,1244,687.3511,320.5832,74,575,278.0741,107.2757,409.277,4998.39,4996.98,4410.87,2389.95,2147.12,57.1157,48.7145,69.2645,57.2459,115.9256,68.1857,80.562,56.04,67.0165,55.9544,75.719,57.3902,84.8264,54.941,97.2562,58.7034,115.6529,65.5517,105.4793,58.1646,96.0744,57.1995,105.1322,54.2465,96600,0.579,0.0054,0.0185,5.33,11200000,0.0064,574,110000,349000,0.0066,3,3,3,4
75,76,32.97056275,32.32316364,9.772050238,11.23311735,8.645317757,1.29932961,1.153404369,0.63849297,0.986842105,0.757575758,0.902076576,1.65288715,0.165214815,0.019635671,159,717,326.68,179.0438,172,517,268.7917,114.8663,57.8883,6679.77,6679.51,5629.15,3916.56,1678.71,69.2525,63.4841,74.9091,69.7245,105.8687,63.1869,53.4545,68.3107,61.3333,61.2802,56.596,67.451,78.7879,59.5477,68.6869,59.2019,104.2626,62.4282,88.5152,51.5887,79.8586,54.9027,78.3434,61.2056,19800,0.704,0.007,0.0687,5.07,2750000,0.0385,165,28800,98300,0.0112,3,2,2,2
108,112,40.04163056,39.01261722,11.72646029,13.52962493,10.41906575,1.298544922,1.181380748,0.637931965,0.964285714,0.701298701,0.891709609,1.662042824,0.167211236,0.025698587,32,1055,469.9537,324.3013,35,784,194.1957,202.6305,275.7581,3028.72,2178.58,316583.26,283272.93,171.0727,68.6623,56.2058,53.6299,56.3189,99.1429,71.9751,40.5649,54.5627,42.7532,54.6447,40.039,51.2598,99,70.0352,56.0974,58.5706,92.9091,70.8333,76.6623,66.6802,86.1429,60.6787,61.5584,61.487,65400,0.709,0.0041,0.0326,5.6,9420000,0.0108,392,104000,356000,0.0051,2,2,3,3
246,251,58.76955262,57.72113208,17.6979357,18.32499121,17.32131246,1.057944728,1.117274272,0.326408034,0.980079681,0.719298246,0.927844698,0.918958742,0.160865473,0.017839519,70,1045,716.8821,345.1841,90,933,282.7188,246.0274,434.1634,25752.83,15205.08,599663.7,562979.42,301.5248,52.4649,49.6952,33.8743,46.7841,122.0117,84.9098,38.5497,50.5886,49.4766,48.5758,46.3655,48.2831,38.9298,39.7515,41.7982,54.4686,122.4415,83.886,66.9591,59.9375,78.4883,49.1378,56.0731,51.6399,58900,0.793,0.0018,0.0764,6.43,8600000,0.0392,565,137000,492000,0.0052,4,5,3,2
64,66,30.38477631,29.77654924,9.027033337,9.729611185,8.563718255,1.136143308,1.147948088,0.474657368,0.96969697,0.711111111,0.907070629,0.438607148,0.161460876,0.020017494,50,2049,717.0938,636.222,35,784,260.2692,157.7194,456.8245,4591.16,4594.54,2509.94,2212.41,1476.73,90.1556,62.0277,126.9333,71.0516,98.2,73.5651,53.9444,53.4296,65.2889,56.6787,68.2333,55.1431,77.1,55.483,64.5444,57.918,97.3222,73.118,71.7111,57.5528,97.7,65.8067,83.8778,65.2268,319000,0.593,0.0076,0.0182,4.98,-14800000,0.0049,597,355000,1130000,0.0087,1,1,1,1
102,103,37.45584412,37.27769854,11.39607097,11.63143301,11.37785715,1.022286785,1.094533711,0.20766932,0.990291262,0.708333333,0.922384193,0.343480548,0.160587745,0.004756149,170,2757,1032.64,652.034,86,623,263.7381,137.2449,768.8992,4768.91,2187.54,4768.91,4766.86,2186.45,84.1458,61.6462,39.1597,47.8236,93.9306,66.4014,58.2778,60.0888,80.875,62.7032,65.6806,57.687,87.0833,60.7862,61.3542,51.9865,96.2639,67.4128,64.9722,60.0379,115.6806,48.2874,83.4236,54.8841,389000,0.585,0.0044,0.0125,5.53,-14800000,0.0023,831,457000,1440000,0.005,1,1,1,1
