ID,Distances,,,5,
1178,3180000,,,71,
1383,3180000,,,101,
1168,3190000,,,103,
1169,3190000,,,104,
1126,3200000,,,126,
1166,3200000,,,168,
1335,3200000,,,204,
1399,3200000,,,221,
1427,3200000,,,222,
1465,3200000,,,223,
1167,3210000,,,251,
1180,3210000,,,255,
1572,3210000,,,315,
1597,3210000,,,450,
1630,3210000,,,600,
1654,3210000,,,601,
832,3220000,,,604,
995,3220000,,,626,
1043,3220000,,,637,
1103,3220000,,,661,
1140,3220000,,,663,
1174,3220000,,,727,
1203,3220000,,,733,
1251,3220000,,,760,
1431,3220000,,,761,
1583,3220000,,,853,
1642,3220000,,,888,
868,3230000,,,915,
963,3230000,,,946,
1264,3230000,,,1051,
1365,3230000,,,1052,
1389,3230000,,,1058,
1490,3230000,,,1102,
712,3240000,,,1144,
752,3240000,,,1187,
759,3240000,,,1370,
797,3240000,,,1394,
815,3240000,,,1599,
829,3240000,,,1607,
881,3240000,,,1645,
958,3240000,,,1869,
1069,3240000,,,1922,
1561,3240000,,,2016,
1603,3240000,,,2039,
1719,3240000,,,2289,
1760,3240000,,,2346,
744,3250000,,,2415,
750,3250000,,,2421,
845,3250000,,,2487,
1162,3250000,,,2507,
1210,3250000,,,2564,
650,3260000,,,2615,
656,3260000,,,max: ,
715,3260000,,,,
720,3260000,,,,
753,3260000,,,,
866,3260000,,,,
907,3260000,,,,
997,3260000,,,,
1292,3260000,,,,
1573,3260000,,,,
1686,3260000,,,,
1759,3260000,,,,
654,3270000,,,,
702,3270000,,,,
725,3270000,,,,
734,3270000,,,,
1146,3270000,,,,
1352,3270000,,,,
1428,3270000,,,,
1457,3270000,,,,
1730,3270000,,,,
1767,3270000,,,,
596,3280000,,,,
649,3280000,,,,
679,3280000,,,,
682,3280000,,,,
732,3280000,,,,
763,3280000,,,,
1125,3280000,,,,
1232,3280000,,,,
1555,3280000,,,,
1652,3280000,,,,
1913,3280000,,,,
1932,3280000,,,,
518,3290000,,,,
561,3290000,,,,
578,3290000,,,,
894,3290000,,,,
1160,3290000,,,,
1253,3290000,,,,
1436,3290000,,,,
1779,3290000,,,,
483,3300000,,,,
657,3300000,,,,
793,3300000,,,,
999,3300000,,,,
1129,3300000,,,,
1182,3300000,,,,
1409,3300000,,,,
1588,3300000,,,,
1964,3300000,,,,
1975,3300000,,,,
1977,3300000,,,,
521,3310000,,,,
522,3310000,,,,
595,3310000,,,,
597,3310000,,,,
828,3310000,,,,
931,3310000,,,,
1212,3310000,,,,
1403,3310000,,,,
1567,3310000,,,,
1816,3310000,,,,
1854,3310000,,,,
497,3320000,,,,
516,3320000,,,,
517,3320000,,,,
721,3320000,,,,
746,3320000,,,,
806,3320000,,,,
959,3320000,,,,
1007,3320000,,,,
765,3330000,,,,
1353,3330000,,,,
1545,3330000,,,,
1685,3330000,,,,
1718,3330000,,,,
1888,3330000,,,,
457,3340000,,,,
1228,3340000,,,,
1289,3340000,,,,
1714,3340000,,,,
1907,3340000,,,,
1957,3340000,,,,
2104,3340000,,,,
436,3350000,,,,
757,3350000,,,,
996,3350000,,,,
1855,3350000,,,,
1911,3350000,,,,
1921,3350000,,,,
717,3360000,,,,
767,3360000,,,,
922,3360000,,,,
1155,3360000,,,,
1823,3360000,,,,
2143,3360000,,,,
463,3370000,,,,
655,3370000,,,,
1653,3370000,,,,
1788,3370000,,,,
386,3380000,,,,
634,3380000,,,,
639,3380000,,,,
971,3380000,,,,
978,3380000,,,,
1070,3380000,,,,
1252,3380000,,,,
1967,3380000,,,,
2234,3380000,,,,
297,3390000,,,,
500,3390000,,,,
520,3390000,,,,
651,3390000,,,,
714,3390000,,,,
735,3390000,,,,
1042,3390000,,,,
1610,3390000,,,,
1713,3390000,,,,
1792,3390000,,,,
1978,3390000,,,,
1994,3390000,,,,
2187,3390000,,,,
2290,3390000,,,,
330,3400000,,,,
435,3400000,,,,
499,3400000,,,,
1209,3400000,,,,
1863,3400000,,,,
296,3410000,,,,
383,3410000,,,,
387,3410000,,,,
388,3410000,,,,
493,3410000,,,,
798,3410000,,,,
1379,3410000,,,,
1448,3410000,,,,
1609,3410000,,,,
2284,3410000,,,,
585,3420000,,,,
678,3420000,,,,
743,3420000,,,,
1547,3420000,,,,
628,3430000,,,,
745,3430000,,,,
1667,3430000,,,,
2208,3430000,,,,
2354,3430000,,,,
361,3440000,,,,
439,3440000,,,,
1281,3440000,,,,
2135,3440000,,,,
2300,3440000,,,,
169,3450000,,,,
579,3450000,,,,
695,3450000,,,,
748,3450000,,,,
1334,3450000,,,,
1558,3450000,,,,
1766,3450000,,,,
552,3460000,,,,
567,3460000,,,,
1143,3460000,,,,
1789,3460000,,,,
137,3470000,,,,
226,3470000,,,,
348,3470000,,,,
369,3470000,,,,
685,3470000,,,,
998,3470000,,,,
1974,3470000,,,,
2018,3470000,,,,
2494,3470000,,,,
167,3480000,,,,
880,3480000,,,,
1413,3480000,,,,
1966,3480000,,,,
2159,3480000,,,,
2417,3480000,,,,
23,3490000,,,,
43,3490000,,,,
1127,3490000,,,,
1693,3490000,,,,
1824,3490000,,,,
2102,3490000,,,,
2479,3490000,,,,
2531,3490000,,,,
363,3500000,,,,
384,3500000,,,,
1591,3500000,,,,
179,3510000,,,,
398,3510000,,,,
526,3510000,,,,
534,3510000,,,,
638,3510000,,,,
708,3510000,,,,
901,3510000,,,,
1065,3510000,,,,
1418,3510000,,,,
2185,3510000,,,,
2314,3510000,,,,
2387,3510000,,,,
2397,3510000,,,,
2532,3510000,,,,
2533,3510000,,,,
972,3520000,,,,
1147,3520000,,,,
1320,3520000,,,,
1790,3520000,,,,
127,3530000,,,,
1715,3530000,,,,
2366,3530000,,,,
2477,3530000,,,,
2594,3530000,,,,
392,3540000,,,,
659,3540000,,,,
1619,3540000,,,,
2090,3540000,,,,
2292,3540000,,,,
62,3550000,,,,
324,3550000,,,,
549,3550000,,,,
1117,3550000,,,,
1958,3550000,,,,
2109,3550000,,,,
2412,3550000,,,,
2656,3550000,,,,
20,3560000,,,,
1063,3560000,,,,
2169,3560000,,,,
2423,3560000,,,,
2620,3560000,,,,
2658,3560000,,,,
1682,3570000,,,,
2561,3570000,,,,
2599,3570000,,,,
2618,3570000,,,,
378,3580000,,,,
523,3580000,,,,
726,3580000,,,,
914,3580000,,,,
983,3580000,,,,
1533,3580000,,,,
1675,3580000,,,,
1721,3580000,,,,
1723,3580000,,,,
287,3590000,,,,
607,3590000,,,,
1294,3590000,,,,
1876,3590000,,,,
2042,3590000,,,,
2241,3590000,,,,
2404,3590000,,,,
2600,3590000,,,,
573,3600000,,,,
781,3600000,,,,
1110,3600000,,,,
1340,3600000,,,,
551,3610000,,,,
1237,3610000,,,,
1437,3610000,,,,
2207,3610000,,,,
1343,3620000,,,,
1476,3620000,,,,
1965,3620000,,,,
2587,3620000,,,,
27,3640000,,,,
227,3640000,,,,
642,3640000,,,,
1304,3640000,,,,
1825,3640000,,,,
2259,3640000,,,,
2455,3640000,,,,
174,3650000,,,,
1306,3650000,,,,
2210,3650000,,,,
2331,3650000,,,,
2391,3650000,,,,
1532,3660000,,,,
1571,3660000,,,,
2034,3660000,,,,
2100,3660000,,,,
2238,3660000,,,,
249,3670000,,,,
331,3670000,,,,
485,3670000,,,,
1138,3670000,,,,
1590,3670000,,,,
1626,3670000,,,,
2622,3670000,,,,
34,3680000,,,,
274,3680000,,,,
705,3680000,,,,
1149,3680000,,,,
1791,3680000,,,,
25,3690000,,,,
664,3690000,,,,
703,3690000,,,,
2492,3690000,,,,
565,3700000,,,,
1511,3700000,,,,
423,3710000,,,,
577,3710000,,,,
1606,3710000,,,,
2379,3710000,,,,
1236,3720000,,,,
1650,3720000,,,,
1787,3720000,,,,
88,3730000,,,,
224,3730000,,,,
568,3730000,,,,
937,3730000,,,,
1470,3730000,,,,
2458,3730000,,,,
2657,3730000,,,,
1614,3740000,,,,
79,3750000,,,,
899,3750000,,,,
1692,3750000,,,,
1697,3750000,,,,
2078,3760000,,,,
444,3770000,,,,
2293,3770000,,,,
2669,3770000,,,,
335,3780000,,,,
1002,3780000,,,,
380,3790000,,,,
982,3790000,,,,
1336,3790000,,,,
1761,3790000,,,,
622,3800000,,,,
960,3800000,,,,
1039,3800000,,,,
1066,3800000,,,,
1114,3800000,,,,
2597,3800000,,,,
1269,3810000,,,,
1694,3810000,,,,
2690,3810000,,,,
87,3820000,,,,
1050,3820000,,,,
2277,3820000,,,,
2489,3820000,,,,
1968,3830000,,,,
2110,3830000,,,,
2206,3830000,,,,
149,3840000,,,,
1213,3840000,,,,
2146,3840000,,,,
2578,3840000,,,,
1324,3850000,,,,
2201,3850000,,,,
1090,3860000,,,,
1601,3870000,,,,
1604,3870000,,,,
92,3880000,,,,
263,3880000,,,,
185,3890000,,,,
921,3890000,,,,
952,3890000,,,,
89,3900000,,,,
244,3900000,,,,
547,3900000,,,,
948,3900000,,,,
875,3910000,,,,
513,3920000,,,,
1139,3920000,,,,
1551,3920000,,,,
2093,3920000,,,,
817,3930000,,,,
1098,3930000,,,,
2219,3930000,,,,
2308,3930000,,,,
3,3940000,,,,
2535,3940000,,,,
877,3950000,,,,
1736,3950000,,,,
766,3960000,,,,
1165,3960000,,,,
349,3970000,,,,
878,3970000,,,,
124,3980000,,,,
409,3980000,,,,
1023,3980000,,,,
2470,3980000,,,,
2516,3980000,,,,
471,4000000,,,,
580,4000000,,,,
48,4010000,,,,
171,4010000,,,,
440,4010000,,,,
2429,4010000,,,,
1464,4020000,,,,
1471,4020000,,,,
2558,4020000,,,,
77,4030000,,,,
2621,4030000,,,,
196,4050000,,,,
294,4050000,,,,
711,4050000,,,,
1850,4050000,,,,
35,4060000,,,,
408,4060000,,,,
756,4060000,,,,
1204,4060000,,,,
1345,4060000,,,,
1405,4060000,,,,
283,4070000,,,,
2054,4070000,,,,
157,4080000,,,,
1025,4080000,,,,
1188,4090000,,,,
1885,4090000,,,,
211,4100000,,,,
487,4100000,,,,
1701,4100000,,,,
461,4110000,,,,
146,4120000,,,,
2218,4120000,,,,
1301,4130000,,,,
2515,4160000,,,,
2043,4170000,,,,
2462,4170000,,,,
647,4180000,,,,
2113,4180000,,,,
2609,4180000,,,,
399,4190000,,,,
1906,4190000,,,,
53,4200000,,,,
1864,4200000,,,,
1441,4210000,,,,
1927,4210000,,,,
250,4240000,,,,
156,4250000,,,,
136,4280000,,,,
176,4280000,,,,
835,4280000,,,,
1120,4280000,,,,
1081,4290000,,,,
2057,4290000,,,,
2634,4290000,,,,
2121,4300000,,,,
667,4310000,,,,
36,4320000,,,,
787,4320000,,,,
37,4330000,,,,
1378,4330000,,,,
1698,4350000,,,,
112,4390000,,,,
1189,4390000,,,,
105,4400000,,,,
130,4440000,,,,
58,4450000,,,,
2670,4450000,,,,
1497,4460000,,,,
391,4500000,,,,
1695,4510000,,,,
17,4520000,,,,
134,4530000,,,,
1454,4560000,,,,
944,4570000,,,,
178,4590000,,,,
195,4600000,,,,
2616,4620000,,,,
106,4630000,,,,
133,4630000,,,,
1275,4630000,,,,
1689,4630000,,,,
2375,4640000,,,,
60,4650000,,,,
284,4650000,,,,
2367,4660000,,,,
