Area,ConvexArea,Perimeter,ConvexPerimeter,EquivDiameter,MajorAxisLength,MinorAxisLength,SuperscribedDiameter,Elongation,Compactness,Eccentricity,Solidity,Extent,Circularity,RadialDistanceSD,SecondMoment,Roughness,MinIntensity,MaxIntensity,MeanIntensity,SDIntensity,MinIntensityBG,MaxIntensityBG,MeanIntensityBG,SDIntensityBG,IntensityDifference,markov1,markov2,markov3,markov4,markov5,gabormean_0_0,gaborSD_0_0,gabormean_0_1,gaborSD_0_1,gabormean_0_2,gaborSD_0_2,gabormean_1_0,gaborSD_1_0,gabormean_1_1,gaborSD_1_1,gabormean_1_2,gaborSD_1_2,gabormean_2_0,gaborSD_2_0,gabormean_2_1,gaborSD_2_1,gabormean_2_2,gaborSD_2_2,gabormean_3_0,gaborSD_3_0,gabormean_3_1,gaborSD_3_1,gabormean_3_2,gaborSD_3_2,Contrast,Correlation,Energy,Homogeneity,Entropy,x_3rdordermoment,Inversevariance,Sumaverage,Variance,Clustertendency,MaxProbability,Malignancy_1,Malignancy_2,Malignancy_3,Malignancy_4
345,362,73.01219331,69.80013253,20.95871282,22.09022748,20.37904551,23.70653918,1.083967719,1.229594271,0.38590937,0.953038674,0.681818182,0.889849303,0.903991241,0.16315525,0.043993484,97,1429,1027.15,244.8684,29,1417,562.465,384.1789,464.6833,14567.31,229722.45,902650.01,675216.57,3516.75,56.3696,47.5288,44.4328,46.5742,150.0375,87.619,53.3715,48.8231,45.2727,42.0084,52.5791,49.6935,58.2668,46.7896,65.0534,55.2588,150.9486,87.7093,60.0949,40.745,55.9644,47.2496,63.5692,48.7162,81900,0.696,0.0011,0.0218,6.9,27300000,0.0069,899,130000,442000,0.0017,3,3,4,2
664,726,109.1543289,99.6454944,29.07629718,33.96867406,25.85451316,37.10795063,1.313839246,1.427920355,0.648601557,0.914600551,0.683127572,0.840354656,5.746884972,0.171278238,0.087113673,11,1206,564.1012,231.4874,13,1816,484.8595,413.3921,79.2417,5891.81,2279.23,5891.65,5891.44,2278.73,65.213,45.3177,56.929,51.1469,110.8035,79.0963,61.7058,44.4782,61.2016,44.1571,67.1173,48.3854,50.2973,36.717,54.8776,44.0619,107.3951,75.4026,82.1235,56.3455,90.2582,59.4128,93.4825,58.7685,61100,0.643,0.0006,0.0205,7.58,-7090000,0.0053,535,85700,282000,0.0011,5,3,5,5
123,140,50.04163056,46.99953935,12.51433035,15.79817381,12.03532556,17.20465053,1.312650308,1.620122783,0.647791687,0.878571429,0.62755102,0.699725615,1.632906758,0.199067424,0.060791209,8,1075,522.5203,343.4121,11,858,182.6301,174.8052,339.8902,2232.51,4776.74,371097.3,371165.34,262.4911,92.6735,67.2858,78.9541,64.0047,87.1531,69.7455,50.4694,60.7503,63.6122,66.6578,47.4643,53.0654,96.9847,59.7359,62.1786,55.3344,95.1582,71.354,85.3061,59.1718,78.4286,60.4831,86.3571,62.7133,91300,0.624,0.0032,0.0299,5.86,-7100000,0.0129,433,119000,386000,0.0043,3,3,3,2
58,60,30.14213562,29.42955328,8.593479714,10.75214913,7.091028717,11.18033989,1.516303142,1.246551374,0.751705675,0.966666667,0.753246753,0.841531773,1.646670846,0.17588872,0.023640738,163,1692,571.9828,430.1267,188,1428,480.8947,347.7691,91.088,5396.2,5395.52,2840.99,3196.81,1979.39,91.2338,72.8872,91.0649,61.5089,103.9221,63.7486,62.4286,77.0011,74.1429,76.1107,62.4675,78.6646,104.2597,70.5313,59.1948,57.1579,102.3636,64.0016,95.1558,69.9404,97.2208,53.2051,86.7143,76.8018,198000,0.496,0.0091,0.0213,4.79,-531000,0.0053,436,181000,540000,0.0105,1,1,0,1
76,76,32.14213562,31.96399004,9.836981519,10.55083023,9.289904568,10.81665383,1.135730744,1.081747754,0.474064006,1,0.844444444,0.934762934,0.834204578,0.160325394,0.005542431,268,1052,669.8158,249.0828,228,792,366.8571,137.6254,302.9586,4545.92,4546.79,4605.74,1984.06,1557.16,75.1,51.5602,56.3,57.0514,113.0444,61.7863,48.8444,44.7254,81.7,53.6741,70.2778,42.264,51.7333,55.659,58.6889,58.8087,114.4111,61.9679,114.5889,70.6075,110.0111,60.9679,98.3889,63.0922,51600,0.655,0.0076,0.0298,4.98,9820000,0.0059,425,64500,214000,0.0098,2,0,2,4
42,42,24.14213562,23.96399004,7.312732791,7.753646421,7.141508845,8.246211251,1.08571544,1.10431308,0.389440437,1,0.75,0.919053712,0.569281866,0.161389159,0.007379032,109,1437,556.7619,453.5028,135,782,230.8571,163.7596,325.9048,21460,4882.98,317883.67,307331.15,751.8669,78.5893,76.3996,66.0893,64.7013,110.8214,71.7296,62.2321,47.3113,95.0714,64.7832,81,48.5431,59.6429,67.7381,58.4286,71.1137,111.6429,74.4056,78.6607,64.2278,127.4821,59.9111,73.1786,62.5614,153000,0.693,0.0133,0.0395,4.41,36700000,0.0098,378,165000,556000,0.0176,1,1,1,3
70,72,31.79898987,31.08640753,9.440697439,10.45784338,8.681235628,10.77032961,1.20464918,1.149525858,0.557588952,0.972222222,0.7,0.910262878,0.465700093,0.162556851,0.022408961,84,1852,625.0143,511.6061,71,361,151.6333,80.5894,473.381,4666.51,2864.08,524482.66,534952.69,231.6537,76.24,63.718,70.05,66.7444,94.61,72.2096,96.1,58.1059,106.44,57.3499,92.2,61.5215,62.31,53.8662,46.01,51.8947,98.66,73.7179,77.07,48.5225,104.39,60.7774,90.69,50.9039,211000,0.61,0.0067,0.0307,5.11,-17900000,0.0112,470,249000,800000,0.0086,1,2,1,1
222,235,60.18376618,57.24945608,16.81247093,17.96026379,16.81187723,19.41648784,1.068308051,1.298362264,0.351841494,0.944680851,0.649122807,0.851177449,1.926476906,0.169635029,0.04875584,205,1128,673.7928,271.6248,197,499,285.9667,64.7332,387.8261,2804.12,4567.04,495801.05,530738.09,76.9028,87.6111,54.781,46.5029,49.6184,106.269,76.7327,50.5029,47.7477,58.8567,45.5351,57.9327,46.0046,49.9708,46.098,42.424,52.1038,104.5614,75.3325,59.3158,46.1053,73.0731,50.0857,63.462,49.1407,40100,0.77,0.0017,0.0352,6.47,-532000,0.0138,373,85800,304000,0.0026,4,4,4,0
121,124,41.79898987,41.04167727,12.41217084,14.80033291,10.59533061,14.86606875,1.396873156,1.149043152,0.698218604,0.975806452,0.785714286,0.902703305,2.200040388,0.169754245,0.018117964,12,1237,568.4118,342.9791,24,700,207.8667,189.444,360.5451,3882.42,3881.2,2880.16,2235.32,1810.39,73.7078,54.3996,61.9805,57.1685,121.2338,67.8828,87.2208,44.6853,70.9156,58.5425,98.5584,56.6751,86.9156,56.6315,66.6753,48.0026,108.8052,69.0646,88.7468,57.932,109.0909,64.9343,95.9091,66.3764,125000,0.529,0.0042,0.0225,5.59,6090000,0.0055,526,131000,399000,0.0059,0,2,2,3
100,103,37.79898987,37.08709566,11.28379167,12.11603889,10.73615705,13,1.128526608,1.136973975,0.46347281,0.970873786,0.757575758,0.91361709,0.74626044,0.162123,0.018833683,176,1130,678.35,310.5859,89,811,339.6563,208.733,338.6938,5645.22,5645.72,3478.83,3367.29,2168.08,90.0833,55.0434,58.0682,52.8095,112.4545,65.3793,55.8712,59.0524,56.697,59.3126,61.2045,57.2465,98.4015,65.3903,63.2879,58.094,111.3712,65.7283,115.3561,52.7267,103.3485,63.7837,80.9015,54.6251,93800,0.557,0.0049,0.0212,5.43,10700000,0.0054,557,104000,324000,0.0056,3,3,3,2
50,50,26.38477631,26.38477631,7.978845608,8.720020184,7.560576344,9.219544457,1.153353896,1.107967356,0.498244514,1,0.694444444,0.902553667,0.492604385,0.163168,7.77E-16,142,876,467.28,225.5181,106,526,217.8182,112.0356,249.4618,5035.56,1087.4,5034.57,5034.61,1087.32,93.1667,69.1654,87.5278,70.5028,119.4861,67.245,79.6528,57.4226,62.6667,61.0571,75.9722,53.6664,72.5556,60.1627,64.7083,60.0489,116.2917,68.3278,114.5278,66.4873,88.5694,66.136,100.8333,60.1491,45300,0.645,0.0098,0.0289,4.72,4160000,0.0058,310,52100,172000,0.0119,2,3,1,0
