Area,ConvexArea,Perimeter,ConvexPerimeter,EquivDiameter,MajorAxisLength,MinorAxisLength,Elongation,Compactness,Eccentricity,Solidity,Extent,Circularity,RadialDistanceSD,SecondMoment,Roughness,MinIntensity,MaxIntensity,MeanIntensity,SDIntensity,MinIntensityBG,MaxIntensityBG,MeanIntensityBG,SDIntensityBG,IntensityDifference,markov1,markov2,markov3,markov4,markov5,gabormean_0_0,gaborSD_0_0,gabormean_0_1,gaborSD_0_1,gabormean_0_2,gaborSD_0_2,gabormean_1_0,gaborSD_1_0,gabormean_1_1,gaborSD_1_1,gabormean_1_2,gaborSD_1_2,gabormean_2_0,gaborSD_2_0,gabormean_2_1,gaborSD_2_1,gabormean_2_2,gaborSD_2_2,gabormean_3_0,gaborSD_3_0,gabormean_3_1,gaborSD_3_1,gabormean_3_2,gaborSD_3_2,Contrast,Correlation,Energy,Homogeneity,Entropy,x_3rdordermoment,Inversevariance,Sumaverage,Variance,Clustertendency,MaxProbability,Malignancy_1,Malignancy_2,Malignancy_3,Malignancy_4
1094,1286,168.8528137,135.3729182,37.32189789,42.80368683,35.83490024,1.194469262,2.073907672,0.546909233,0.850699844,0.625858124,0.750176757,8.399399399,0.177880999,0.198278577,174,1245,950.585,258.1061,82,1134,335.4908,198.5287,615.0942,9586.22,65166.59,791635.88,674028.11,161.4294,29.9462,36.8423,27.1047,40.1055,128.6974,97.6421,30.9588,38.7879,33.3741,30.2777,31.0286,38.2095,31.4777,32.4242,25.7592,34.3867,128.5395,96.7572,52.2122,49.4067,56.1276,42.3147,43.036,45.5609,30300,0.894,0.0003,0.0532,8.15,1290000,0.0223,661,143000,541000,0.0009,5,5,5,4
161,167,51.45584412,49.20108142,14.31752656,18.12506795,11.57466258,1.565926248,1.308680629,0.769539115,0.964071856,0.706140351,0.835769355,3.372750613,0.178503197,0.043819371,127,1039,605.9193,296.5192,115,387,206.2687,69.9622,399.6506,1604.65,3366.75,429007.24,460743.67,144.5988,87.0526,57.9728,38.5307,44.359,106.557,72.7484,68.1491,47.5899,88.9956,52.7838,52.0088,47.653,76.8684,51.694,78.193,61.7426,106.7149,71.5855,81.9123,57.005,117.2149,55.2944,79.8596,53.2758,61400,0.692,0.0027,0.0312,6.03,-469000,0.0107,420,98700,333000,0.0043,4,4,3,2
246,251,58.76955262,57.72113208,17.6979357,18.32499121,17.32131246,1.057944728,1.117274272,0.326408034,0.980079681,0.719298246,0.927844698,0.918958742,0.160865473,0.017839519,70,1045,716.8821,345.1841,90,933,282.7188,246.0274,434.1634,25752.83,15205.08,599663.7,562979.42,301.5248,52.4649,49.6952,33.8743,46.7841,122.0117,84.9098,38.5497,50.5886,49.4766,48.5758,46.3655,48.2831,38.9298,39.7515,41.7982,54.4686,122.4415,83.886,66.9591,59.9375,78.4883,49.1378,56.0731,51.6399,58900,0.793,0.0018,0.0764,6.43,8600000,0.0392,565,137000,492000,0.0052,4,5,3,2
71,73,32.14213562,31.49473652,9.507891863,10.52835183,8.908659591,1.181810992,1.157927173,0.532930537,0.97260274,0.788888889,0.899481538,0.988913754,0.165091322,0.020141758,182,1942,635.3521,477.3864,201,700,292.3158,109.1131,343.0363,13289.66,5844.99,501398.45,459387.19,446.4827,99.8222,66.1494,84.4111,71.6271,104.3444,70.262,71.0556,43.1755,73.4333,51.3516,68.9,45.9587,59.4222,63.2463,51.2222,57.8339,98.7444,66.9247,76.7111,54.7189,96.7,70.8573,68.4889,51.1403,172000,0.634,0.0076,0.0296,4.98,15500000,0.0097,403,200000,650000,0.0105,2,1,1,1
120,127,42.627417,41.0639669,12.36077446,13.94604858,11.23066022,1.241783503,1.204999661,0.592876561,0.94488189,0.714285714,0.89427133,1.441467668,0.165600694,0.036677101,133,941,490.325,236.4088,130,351,209.3958,54.7554,280.9292,1792.84,3169.6,279381.89,244933.26,101.565,105.9345,58.2576,77.0595,66.7454,105.6369,69.072,55.1429,51.2219,71.7798,46.6445,63.119,55.7929,93.3571,54.3516,60.3214,50.9893,106.244,68.6973,67.3036,54.3576,87.0833,50.158,68.6964,57.7926,43300,0.641,0.0038,0.0358,5.69,2830000,0.0143,320,59200,194000,0.0053,3,3,3,2
72,80,35.21320344,33.228232,9.57461473,12.50438609,7.807575153,1.601571019,1.370467406,0.78111521,0.9,0.666666667,0.819460251,2.036622119,0.186329197,0.05637009,180,958,550.0139,225.8162,152,589,307.7778,111.5837,242.2361,2685.22,3655.78,279302.98,312038.38,192.5721,104.7407,63.4829,79.3611,66.1025,111.1111,67.8859,78.4722,55.6589,68.0093,55.0903,70.5463,53.1199,81.3981,57.3732,87.9907,59.2108,107.0926,63.8871,78.25,62.8929,118.1574,59.4472,86.7685,62.9461,43700,0.6,0.0062,0.0247,5.19,6800000,0.0069,350,50300,161000,0.0071,3,3,3,2
89,95,37.45584412,36.69853152,10.64510777,13.21348071,8.992605762,1.469371732,1.254409422,0.73268959,0.936842105,0.635714286,0.830428982,2.597327601,0.177525537,0.02021881,187,1152,560.618,317.7549,179,532,256.8824,59.9409,303.7356,4808.39,3456.52,378436.95,336275.08,366.516,107.35,62.1826,64.2286,62.5697,97.0571,67.9084,46.6071,52.5033,60.4857,55.2907,52.5786,50.719,90.0214,58.5779,76.0071,62.0376,98.3786,69.9445,82.6786,54.0004,118.3214,63.1289,101.0071,59.1461,83900,0.574,0.0046,0.0345,5.48,5910000,0.0072,309,95700,300000,0.0076,4,3,4,2
125,129,43.21320344,42.13407736,12.61566261,13.70745895,12.05850322,1.136746303,1.188811636,0.475522123,0.968992248,0.744047619,0.884815864,1.997863708,0.165317632,0.024972138,166,1148,674.256,368.8237,182,728,306.9767,165.7766,367.2793,5177.42,3788.71,583373.76,581749.2,191.5085,44.2321,57.8257,37.0238,57.7777,108.4643,71.5508,54.4345,50.7287,73.2679,49.9328,56.3988,49.3548,78.9762,60.4359,43.9643,43.6079,106.8214,70.032,85.5179,57.9389,76.4464,52.6014,79.9167,61.4848,81000,0.724,0.0038,0.0451,5.69,10200000,0.0206,459,137000,471000,0.0059,3,3,4,2
62,64,29.55634919,29.11059749,8.884866447,9.386221721,8.585340314,1.09328476,1.121243721,0.404190601,0.96875,0.765432099,0.919389024,0.325898643,0.160425968,0.015081419,129,1960,818.5645,561.7542,142,618,303.7368,135.4555,514.8277,6554.18,3532.39,905048.31,907478.01,360.9714,104.9753,69.7501,71.4444,61.3215,107.284,65.4771,60.8519,64.555,78.037,59.6621,61.6296,63.8857,114.2099,63.7667,95.5185,71.069,108.7531,67.4642,102.5802,54.6383,121.037,57.7829,108.6296,59.6698,341000,0.485,0.0085,0.0157,4.86,28700000,0.0025,665,315000,931000,0.0095,2,1,1,1
199,207,54.76955262,53.36552904,15.917747,18.69851242,13.75927859,1.358974767,1.199541966,0.677145842,0.961352657,0.663333333,0.878094591,3.264350755,0.168431359,0.025635111,162,1379,774.608,351.235,165,648,336.7525,118.8806,437.8556,4455.9,6604.79,637594.31,756438.56,118.0911,78.0267,55.3492,60.3767,55.3997,100.4567,74.1964,57.2567,57.7999,63.7,55.8151,68.5433,52.3791,83.77,48.8664,65.4433,56.2949,102.9467,73.1498,55.52,53.1902,58.1533,45.1211,68.5333,54.5513,65700,0.758,0.002,0.0239,6.33,8400000,0.0077,511,133000,466000,0.0028,5,2,4,4
