Area,ConvexArea,Perimeter,ConvexPerimeter,EquivDiameter,MajorAxisLength,MinorAxisLength,Elongation,Compactness,Eccentricity,Solidity,Extent,Circularity,RadialDistanceSD,SecondMoment,Roughness,MinIntensity,MaxIntensity,MeanIntensity,SDIntensity,MinIntensityBG,MaxIntensityBG,MeanIntensityBG,SDIntensityBG,IntensityDifference,markov1,markov2,markov3,markov4,markov5,gabormean_0_0,gaborSD_0_0,gabormean_0_1,gaborSD_0_1,gabormean_0_2,gaborSD_0_2,gabormean_1_0,gaborSD_1_0,gabormean_1_1,gaborSD_1_1,gabormean_1_2,gaborSD_1_2,gabormean_2_0,gaborSD_2_0,gabormean_2_1,gaborSD_2_1,gabormean_2_2,gaborSD_2_2,gabormean_3_0,gaborSD_3_0,gabormean_3_1,gaborSD_3_1,gabormean_3_2,gaborSD_3_2,Contrast,Correlation,Energy,Homogeneity,Entropy,x_3rdordermoment,Inversevariance,Sumaverage,Variance,Clustertendency,MaxProbability,Malignancy_1,Malignancy_2,Malignancy_3,Malignancy_4
327,348,72.52691193,68.39274832,20.404639940,22.795978270,18.617752260,1.224421614,1.280090740,0.577045298,0.939655172,0.748283753,0.878491381,1.838336370,0.165063199,0.057001787,179,1147,829.1865,304.8420,107,1705,468.0091,436.2863,361.1775,12660.17,3745.5800,860602.92,914156.86,333.0535,78.0664,55.3330,53.9886,55.9637,137.7918,82.2124,41.1144,42.1468,53.1579,40.1553,43.2151,46.3306,55.0252,52.1324,35.8650,42.0396,138.9977,83.4155,52.5858,51.7495,68.4874,37.9924,52.9222,54.9914,52500,0.802,0.0014,0.0462,6.72,-5570000,0.0192,666,128000,461000,0.0026,4,4,3,3
141,152,47.21320344,45.21995146,13.398760230,14.122121380,13.203164270,1.069601278,1.258050169,0.354837929,0.927631579,0.774725275,0.866500451,0.884021108,0.164490777,0.042218105,94,1081,752.9787,308.1608,116,934,442.4146,288.5348,310.5641,4774.29,1712.8900,4772.87,4773.61,1712.4800,49.2033,46.0801,52.9341,54.0433,126.0495,70.1823,67.5220,47.7964,89.0440,56.8610,67.9121,54.2992,46.2637,55.7226,38.7198,54.6079,125.2582,70.8217,64.0275,59.0517,66.5000,53.1551,56.2692,55.5711,60500,0.748,0.0035,0.0412,5.77,9480000,0.0188,628,102000,355000,0.0053,2,3,4,2
237,252,63.25483400,59.69090559,17.371176470,19.829013890,16.264002250,1.219196455,1.343473890,0.572059164,0.940476190,0.623684211,0.835876036,2.163848202,0.172742852,0.056342388,102,880,441.5063,170.7553,34,513,244.8322,104.4822,196.6742,5454.38,2000.6800,5452.89,5452.75,2000.5000,84.4211,58.1302,73.8474,60.5202,111.2421,79.5729,66.2658,50.2257,61.9553,52.4695,66.1289,49.7587,84.4474,58.2505,75.4000,59.2459,109.4184,75.5983,87.0553,51.3975,92.4868,57.0287,70.6368,45.8104,29000,0.549,0.0015,0.0260,6.59,-47500,0.0090,350,32000,99200,0.0022,3,3,5,3
108,112,40.04163056,39.01261722,11.726460290,13.529624930,10.419065750,1.298544922,1.181380748,0.637931965,0.964285714,0.701298701,0.891709609,1.662042824,0.167211236,0.025698587,32,1055,469.9537,324.3013,35,784,194.1957,202.6305,275.7581,3028.72,2178.5800,316583.26,283272.93,171.0727,68.6623,56.2058,53.6299,56.3189,99.1429,71.9751,40.5649,54.5627,42.7532,54.6447,40.0390,51.2598,99.0000,70.0352,56.0974,58.5706,92.9091,70.8333,76.6623,66.6802,86.1429,60.6787,61.5584,61.4870,65400,0.709,0.0041,0.0326,5.60,9420000,0.0108,392,104000,356000,0.0051,2,2,3,3
310,380,83.49747468,75.05926328,19.867165350,27.477267840,16.237064920,1.692255835,1.789678924,0.806724889,0.815789474,0.582706767,0.691453474,5.173871773,0.204833842,0.101059480,161,1114,753.1323,269.8941,81,705,277.0856,143.6794,476.0467,5777.87,5771.2500,3121.60,3206.31,1692.2400,54.5883,42.6879,54.7951,49.1221,106.0113,79.4811,38.4586,42.1988,38.0075,39.9624,40.0207,42.7072,41.6335,39.2907,25.8365,39.9166,106.7669,84.1315,77.0601,53.5134,82.9774,52.8619,71.0150,58.8491,48700,0.770,0.0011,0.0320,6.94,3190000,0.0122,507,106000,374000,0.0023,4,4,5,5
73,74,32.38477631,31.91552279,9.640875830,10.207087420,9.466643047,1.078216150,1.143270715,0.373927789,0.986486486,0.730000000,0.900593480,0.842886301,0.163643234,0.014489942,52,1039,543.3699,371.0670,10,834,181.5000,212.2682,361.8699,3497.49,1219.4500,3498.50,3499.79,1218.5600,101.5200,68.7469,91.9000,72.1028,107.3100,70.9350,55.2600,65.9425,81.8600,62.0059,49.7800,66.5696,67.1400,56.0339,45.3300,53.6801,105.2800,72.2355,90.5400,62.6272,93.9500,62.3372,81.3100,66.6305,109000,0.656,0.0067,0.0282,5.10,4630000,0.0099,487,139000,460000,0.0083,3,3,2,3
744,782,114.46803740,108.30079320,30.778080210,44.130373700,21.735631600,2.030323964,1.401476030,0.870294202,0.951406650,0.615384615,0.797112325,5.839457137,0.203062911,0.053877435,35,1369,830.8035,303.4479,1,1096,298.7353,207.9074,532.0682,5611.53,5613.3100,3402.81,3366.12,1938.9000,72.0083,56.6124,63.6840,59.6379,118.7924,97.2351,38.9562,41.8215,51.7858,45.4262,32.4202,36.6278,29.2109,27.2072,21.8404,27.9480,118.8147,95.9494,69.5600,53.0798,56.5227,42.6371,57.8536,46.6551,57400,0.803,0.0005,0.0218,7.80,1820000,0.0072,642,145000,524000,0.0012,5,5,5,5
1007,1145,141.98275610,124.31890130,35.807153220,37.210249000,36.262517530,1.026135292,1.593059034,0.224255587,0.879475983,0.680405405,0.818775819,4.155960309,0.167384939,0.124408451,-853,265,-180.6484,261.5221,-865,-95,-690.6152,135.8263,509.9668,17221.41,20593.6600,16450.50,17437.75,3741.0400,21.5649,34.7987,30.6500,49.1770,27.8243,48.4894,47.7270,60.6523,21.9392,35.7445,44.0304,55.9724,17.5838,31.7592,24.8365,40.2551,27.0723,47.3703,41.4993,53.9159,17.9149,32.0798,45.2541,54.7000,19900,0.906,0.0004,0.0633,7.97,-480000,0.0279,546,106000,405000,0.0013,4,5,5,3
404,410,75.25483400,73.36415278,22.680140570,24.392797570,21.252645830,1.147753450,1.115520549,0.490808891,0.985365854,0.734545455,0.943242620,1.751601142,0.161512509,0.025123718,111,1158,792.1856,381.1928,120,1088,430.1575,375.8922,362.0281,7483.47,7118.7100,844036.15,852222.62,93.2565,20.2291,27.9065,12.9891,27.8389,126.5145,89.9282,24.2891,43.0745,30.1745,41.9715,24.0382,42.1188,24.9673,28.6431,21.5327,31.5805,125.8564,88.8062,47.8709,48.4613,48.6400,42.3374,55.7073,62.3783,35800,0.904,0.0011,0.0719,6.95,6240000,0.0324,611,163000,619000,0.0028,5,4,3,2
393,415,78.66904756,75.50981418,22.369245430,27.578775270,18.511999570,1.489778301,1.253156670,0.741239347,0.946987952,0.661616162,0.866154989,2.692616053,0.175034400,0.040158531,181,1155,744.6514,305.3252,156,722,326.7662,130.3428,417.8852,4732.33,7858.1200,591322.82,691863.07,98.3862,56.9613,51.1039,37.4226,43.5056,117.5488,88.6629,51.5034,51.4088,59.6683,47.0744,53.2138,51.5066,70.3805,48.1895,53.4360,55.9412,117.1886,87.6152,59.3266,50.2460,57.2475,41.1357,76.3754,59.1927,38600,0.824,0.0010,0.0548,7.04,-3850000,0.0231,476,108000,393000,0.0023,4,5,5,4
