ID,Distances,,,5,
2032,37100000,,,71,
2420,33300000,,,101,
662,30100000,,,103,
205,29900000,,,104,
643,27800000,,,126,
343,27200000,,,168,
1,24400000,,,204,
945,22500000,,,221,
1467,21400000,,,222,
2554,19700000,,,223,
786,19300000,,,251,
2298,18700000,,,255,
98,18400000,,,315,
102,17400000,,,450,
147,17200000,,,600,
2367,16100000,,,601,
60,16000000,,,604,
284,15700000,,,626,
2375,15400000,,,637,
106,14900000,,,661,
133,14700000,,,663,
1275,14500000,,,727,
1689,14100000,,,733,
2616,13600000,,,760,
195,13200000,,,761,
178,13100000,,,853,
944,12800000,,,888,
1454,12500000,,,915,
134,12400000,,,946,
17,12400000,,,1051,
1695,12000000,,,1052,
391,11700000,,,1058,
1497,11500000,,,1102,
58,11500000,,,1144,
2670,11200000,,,1187,
130,11000000,,,1370,
105,10900000,,,1394,
112,10800000,,,1599,
1189,10700000,,,1607,
1698,10700000,,,1645,
37,10300000,,,1869,
1378,10200000,,,1922,
36,9980000,,,2016,
787,9910000,,,2039,
667,9880000,,,2289,
2121,9820000,,,2346,
1081,9750000,,,2415,
2057,9640000,,,2421,
2634,9590000,,,2487,
136,9550000,,,2507,
176,9540000,,,2564,
835,9520000,,,2615,
1120,9420000,,,max: ,
156,9370000,,,,
250,9080000,,,,
1441,8960000,,,,
1927,8910000,,,,
53,8900000,,,,
1864,8840000,,,,
399,8750000,,,,
1906,8690000,,,,
647,8670000,,,,
2113,8410000,,,,
2609,8400000,,,,
2043,8230000,,,,
2462,8150000,,,,
2515,8120000,,,,
1301,8040000,,,,
146,7950000,,,,
2218,7930000,,,,
461,7890000,,,,
211,7840000,,,,
487,7730000,,,,
1701,7730000,,,,
1188,7590000,,,,
1885,7590000,,,,
157,7580000,,,,
1025,7490000,,,,
283,7230000,,,,
2054,7150000,,,,
35,7150000,,,,
408,7070000,,,,
756,6920000,,,,
1204,6910000,,,,
1345,6870000,,,,
1405,6860000,,,,
196,6850000,,,,
294,6730000,,,,
711,6720000,,,,
1850,6670000,,,,
77,6620000,,,,
2621,6590000,,,,
1464,6560000,,,,
1471,6460000,,,,
2558,6340000,,,,
48,6320000,,,,
171,6120000,,,,
440,6000000,,,,
2429,5990000,,,,
471,5900000,,,,
580,5860000,,,,
124,5830000,,,,
409,5780000,,,,
1023,5760000,,,,
2470,5710000,,,,
2516,5680000,,,,
349,5660000,,,,
878,5580000,,,,
766,5580000,,,,
1165,5520000,,,,
877,5500000,,,,
1736,5490000,,,,
3,5490000,,,,
2535,5480000,,,,
817,5450000,,,,
1098,5450000,,,,
2219,5380000,,,,
2308,5360000,,,,
513,5350000,,,,
1139,5300000,,,,
1551,5290000,,,,
2093,5280000,,,,
875,5280000,,,,
89,5230000,,,,
244,5220000,,,,
547,5210000,,,,
948,5170000,,,,
185,5150000,,,,
921,5130000,,,,
952,5100000,,,,
92,5100000,,,,
263,5090000,,,,
1601,5090000,,,,
1604,5090000,,,,
1090,5070000,,,,
1324,5060000,,,,
2201,5000000,,,,
149,4980000,,,,
1213,4970000,,,,
2146,4940000,,,,
2578,4940000,,,,
1968,4910000,,,,
2110,4880000,,,,
2206,4870000,,,,
87,4830000,,,,
1050,4820000,,,,
2277,4790000,,,,
2489,4780000,,,,
1269,4770000,,,,
1694,4760000,,,,
2690,4720000,,,,
622,4680000,,,,
960,4680000,,,,
1039,4670000,,,,
1066,4660000,,,,
1114,4650000,,,,
2597,4650000,,,,
380,4640000,,,,
982,4630000,,,,
1336,4630000,,,,
1761,4630000,,,,
335,4630000,,,,
1002,4620000,,,,
444,4600000,,,,
2293,4590000,,,,
2669,4570000,,,,
2078,4560000,,,,
79,4530000,,,,
899,4520000,,,,
1692,4510000,,,,
1697,4500000,,,,
1614,4460000,,,,
88,4450000,,,,
224,4450000,,,,
568,4440000,,,,
937,4400000,,,,
1470,4390000,,,,
2458,4390000,,,,
2657,4350000,,,,
1236,4330000,,,,
1650,4330000,,,,
1787,4320000,,,,
423,4320000,,,,
577,4310000,,,,
1606,4300000,,,,
2379,4290000,,,,
565,4290000,,,,
1511,4290000,,,,
25,4280000,,,,
664,4280000,,,,
703,4280000,,,,
2492,4280000,,,,
34,4250000,,,,
274,4240000,,,,
705,4210000,,,,
1149,4210000,,,,
1791,4200000,,,,
249,4200000,,,,
331,4190000,,,,
485,4190000,,,,
1138,4180000,,,,
1590,4180000,,,,
1626,4180000,,,,
2622,4170000,,,,
1532,4170000,,,,
1571,4160000,,,,
2034,4130000,,,,
2100,4120000,,,,
2238,4120000,,,,
174,4110000,,,,
1306,4100000,,,,
2210,4100000,,,,
2331,4100000,,,,
2391,4090000,,,,
27,4090000,,,,
227,4080000,,,,
642,4080000,,,,
1304,4070000,,,,
1825,4070000,,,,
2259,4060000,,,,
2455,4060000,,,,
1343,4060000,,,,
1476,4060000,,,,
1965,4060000,,,,
2587,4060000,,,,
551,4050000,,,,
1237,4050000,,,,
1437,4050000,,,,
2207,4050000,,,,
573,4030000,,,,
781,4030000,,,,
1110,4020000,,,,
1340,4020000,,,,
287,4020000,,,,
607,4010000,,,,
1294,4010000,,,,
1876,4010000,,,,
2042,4010000,,,,
